=======================================================================================
AI DATA FILE - General
=======================================================================================

Demeanor:
  Psychotic, Violent, Aggressive, Impulsive, Neutral, Friendly, 
  Honorable, Serene

Culture:
  Neutral, Berzerkers, Warriors, Traders, Politicians, Artisans, 
  Scientists, Workers, Schemers, Zealots, Engineers, Merchants, 
  Renegades, Xenophobes

Planet Type:
  Rock, Ice, Gas Giant

Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

Characteristics:
  Physical Strength, Intelligence, Cunning, Environmental Resistance,
  Reproduction, Happiness, Aggressiveness, Defensiveness, Political Savvy,
  Mining Aptitude, Farming Aptitude, Refining Aptitude, Construction Aptitude,
  Repair Aptitude, Maintenance Aptitude

Adv Traits:
  Advanced Power Conservation, Mechanoids, Lucky, Natural Merchants, 
  Propulsion Experts, Ancient Race, Advanced Storage Techniques, 
  Hardy Spacefarrers, Psychic, Deeply Religious, Temporal Knowledge, 
  Crystallurgy, Emotionless


=======================================================================================
*BEGIN*
=======================================================================================

Name                                     := Default
Description                              := A generic personality.
Empire Name                              := 
Empire Type                              := 
Emperor Name                             := 
Emperor Title                            := 
Biological Description                   := Humanoid physiology.
Society Description                      := Modern democracy.
General History Description              := Almost destroyed themselves with nuclear weapons, but finally matured into a space-faring society.
Demeanor                                 := Neutral
Culture                                  := Neutral
Happiness Type                           := Peaceful
Planet Type                              := Rock
Atmosphere                               := Oxygen
Design Name File                         := Ravager.txt
Race Opt 1 Num Characteristics           := 0
Race Opt 1 Num Advanced Traits           := 4
Race Opt 1 Adv Trait 1                   := SpaceFaring Race
Race Opt 1 Adv Trait 2                   := AI Race
Race Opt 1 Adv Trait 3                   := Rock Natives
Race Opt 1 Adv Trait 4                   := Impersonal Society
Race Opt 2 Num Characteristics           := 0
Race Opt 2 Num Advanced Traits           := 4
Race Opt 2 Adv Trait 1                   := SpaceFaring Race
Race Opt 2 Adv Trait 2                   := AI Race
Race Opt 2 Adv Trait 3                   := Rock Natives
Race Opt 2 Adv Trait 4                   := Impersonal Society
Race Opt 3 Num Characteristics           := 0
Race Opt 3 Num Advanced Traits           := 4
Race Opt 3 Adv Trait 1                   := SpaceFaring Race
Race Opt 3 Adv Trait 2                   := AI Race
Race Opt 3 Adv Trait 3                   := Rock Natives
Race Opt 3 Adv Trait 4                   := Impersonal Society

=======================================================================================
*END*
=======================================================================================

