=======================================================================================
DEFAULT - AI STRATEGIES		Phong for Carrier Battles Mod version 0.2
=======================================================================================

Movement Priority:
  Don't Get Hurt, Drop Troops (if carrying), Maximum Weapons Range, 
  Optimal Weapons Range, Short Weapons Range, Point Blank, Board Enemy Ships, 
  Ram

Targeting Priorities: 
  Nearest, Farthest, Largest, Smallest, Most Damaged, Least Damaged, 
  Fastest, Slowest, Strongest, Weakest, Has Weapons, Does Not Have Weapons

=======================================================================================
*BEGIN*
=======================================================================================

Name                                        := Break Formation
Primary Movement Strategy                   := Optimal Weapons Range
Secondary Movement Strategy                 := Maximum Weapons Range
Targeting Priority 1                        := Nearest
Targeting Priority 2                        := Least Damaged
Targeting Priority 3                        := Strongest
Targeting Priority 4                        := Fastest
Use Type Priority First                     := False
Type Priority Planets                       := 14
Type Priority Fighters                      := 3
Type Priority Seekers(On Us)                := 5
Type Priority Seekers(On Others)            := 10
Type Priority Mines                         := 6
Type Priority Carriers                      := 8
Type Priority Colony Ships                  := 11
Type Priority Transports                    := 9
Type Priority Bases(No Weapons)             := 12
Type Priority Ships(No Weapons)             := 13
Type Priority Bases                         := 2
Type Priority Ships                         := 1
Type Priority Satellites                    := 4
Type Priority Drones                        := 7
Dont Fire On Planets                        := False
Dont Fire On Fighters                       := False
Dont Fire On Seekers(On Us)                 := False
Dont Fire On Seekers(On Others)             := False
Dont Fire On Mines                          := False
Dont Fire On Carriers                       := False
Dont Fire On Colony Ships                   := False
Dont Fire On Transports                     := False
Dont Fire On Bases(No Weapons)              := False
Dont Fire On Ships(No Weapons)              := False
Dont Fire On Bases                          := False
Dont Fire On Ships                          := False
Dont Fire On Satellites                     := False
Dont Fire On Drones                         := False
Fighters Launch Group Amount                := 3
Break Formation Planets                     := True
Break Formation Fighters                    := True
Break Formation Mines                       := True
Break Formation Carriers                    := True
Break Formation Colony Ships                := True
Break Formation Transports                  := True
Break Formation Bases(No Weapons)           := True
Break Formation Ships(No Weapons)           := True
Break Formation Bases                       := True
Break Formation Ships                       := True
Break Formation Satellites                  := True
Break Formation Drones                      := True

Name                                        := AntiMissile Screen
Primary Movement Strategy                   := Optimal Weapons Range
Secondary Movement Strategy                 := Point Blank
Targeting Priority 1                        := Has Weapons
Targeting Priority 2                        := Nearest
Targeting Priority 3                        := Least Damaged
Targeting Priority 4                        := Strongest
Use Type Priority First                     := True
Type Priority Planets                       := 14
Type Priority Fighters                      := 3
Type Priority Seekers(On Us)                := 2
Type Priority Seekers(On Others)            := 1
Type Priority Mines                         := 5
Type Priority Carriers                      := 6
Type Priority Colony Ships                  := 7
Type Priority Transports                    := 8
Type Priority Bases(No Weapons)             := 9
Type Priority Ships(No Weapons)             := 10
Type Priority Bases                         := 11
Type Priority Ships                         := 4
Type Priority Satellites                    := 12
Type Priority Drones                        := 13
Dont Fire On Planets                        := True
Dont Fire On Fighters                       := True
Dont Fire On Seekers(On Us)                 := False
Dont Fire On Seekers(On Others)             := False
Dont Fire On Mines                          := False
Dont Fire On Carriers                       := True
Dont Fire On Colony Ships                   := False
Dont Fire On Transports                     := True
Dont Fire On Bases(No Weapons)              := True
Dont Fire On Ships(No Weapons)              := True
