=======================================================================================
AI DATA FILE - General  Vikings
=======================================================================================


=======================================================================================
*BEGIN*
=======================================================================================

Name                                     := Space Vikings
Description                              := Renegade berzerkers with horned helmets and impressive fighting skills.
Empire Name                              := Space Vikings
Empire Type                              := 
Emperor Name                             := Rollo Dogscoffson
Emperor Title                            := Chief
Biological Description                   := The Space Vikings do not consist of a single race. Many different races have adopted the Space Viking way of life. Most of them are bipedal humanoids, but strange galactic beings like giant amoebae have also joined them. Any being which can pass the initiation and fit into a horned helmet is eligible to join.
Society Description                      := Space Viking society is chaotic at best. Being a free willed people they seldom can agree on anything among themselves. They like to go and settle everywhere they please which has resulted in a bad reputation among other races. They are also known as traders (even if they do not excel in it) and enjoy peace and profit as much as everybody else. The Vikings are expert shipbuilders and impressive warriors. To those nations who have overcome their initial prejudice against this loosely based and free willed society, the Space Vikings have become trustworthy allies.
General History Description              := The common link between all Space Vikings is the cult of the Aesir which has its roots in Terran history, and was dormant for thousands of years. It was eventually revived, however, and soon attracted converts from many different species. Scattered clans and colonies were established in all corners of known space, each interpreting the ways of the Aesir differently. Recently though, a new unifying power has emerged, with the influence and leadership to bring the fractious Vikings together under one flag. Viking clans have started uprooting themselves and are now converging on a new Viking homeworld, establishing a galactic power to be reckoned with.
Demeanor                                 := Impulsive
Culture                                  := Berzerkers
Happiness Type                           := Peaceful
Planet Type                              := Ice
Atmosphere                               := Oxygen
Design Name File                         := norse.txt
Race Opt 1 Num Characteristics           := 10
Race Opt 1 Characteristic 1 Type         := Physical Strength
Race Opt 1 Characteristic 1 Amount       := 100
Race Opt 1 Characteristic 2 Type         := Intelligence
Race Opt 1 Characteristic 2 Amount       := 105
Race Opt 1 Characteristic 3 Type         := Cunning
Race Opt 1 Characteristic 3 Amount       := 90
Race Opt 1 Characteristic 4 Type         := Reproduction
Race Opt 1 Characteristic 4 Amount       := 101
Race Opt 1 Characteristic 5 Type         := Happiness
Race Opt 1 Characteristic 5 Amount       := 105
Race Opt 1 Characteristic 6 Type         := Political Savvy
Race Opt 1 Characteristic 6 Amount       := 90
Race Opt 1 Characteristic 7 Type         := Mining Aptitude
Race Opt 1 Characteristic 7 Amount       := 110
Race Opt 1 Characteristic 8 Type         := Farming Aptitude
Race Opt 1 Characteristic 8 Amount       := 101
Race Opt 1 Characteristic 9 Type         := Refining Aptitude
Race Opt 1 Characteristic 9 Amount       := 110
Race Opt 1 Characteristic 10 Type        := Construction Aptitude
Race Opt 1 Characteristic 10 Amount      := 100
Race Opt 1 Num Advanced Traits           := 5
Race Opt 1 Adv Trait 1                   := SpaceFaring Race
Race Opt 1 Adv Trait 2                   := Ice Natives
Race Opt 1 Adv Trait 3                   := AI Race
Race Opt 1 Adv Trait 4                   := Historically Curious
Race Opt 1 Adv Trait 5                   := Natural Builders
Race Opt 2 Num Characteristics           := 10
Race Opt 2 Characteristic 1 Type         := Physical Strength
Race Opt 2 Characteristic 1 Amount       := 100
Race Opt 2 Characteristic 2 Type         := Intelligence
Race Opt 2 Characteristic 2 Amount       := 105
Race Opt 2 Characteristic 3 Type         := Cunning
Race Opt 2 Characteristic 3 Amount       := 90
Race Opt 2 Characteristic 4 Type         := Reproduction
