=======================================================================================
AI DATA FILE - Vikings
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
[%OurEmperorName]      - Our Emperor's Name
[%OurEmpireName]       - Our Empire Name
[%TargetEmperorTitle]  - Target Emperor's Title       (Player who gets message)
[%TargetEmperorName]   - Target Emperor's Name
[%TargetEmpireName]    - Target Empire Name
[%OtherEmperorTitle]   - Other Emperor's Title        (Player who this message is talking about, third empire)
[%OtherEmperorName]    - Other Emperor's Name
[%OtherEmpireName]     - Other Empire Name            
[%TreatyName]          - Current Treaty 
[%ProposedTreatyName]  - Proposed Treaty
[%SystemName]          - Target System
[%PlanetName]          - Target Planet

=======================================================================================
*BEGIN*
=======================================================================================

Number of Send General Message                                    := 3
Send General Message 1                                            := Greetings, can I buy you a drink?
Send General Message 2                                            := Beer planets are best!
Send General Message 3                                            := We have discovered a world where the trees produce mead!
Number of Send Propose Treaty                                     := 3
Send Propose Treaty 1                                             := How about a treaty of [%ProposedTreatyName].
Send Propose Treaty 2                                             := We will need strong allies when Ragnarok comes. Join us in a [%ProposedTreatyName].
Send Propose Treaty 3                                             := Let us forge an alliance as sure as that of the Aesir and the Vanir. We propose a [%ProposedTreatyName].
Number of Send Accept Treaty                                      := 3
Send Accept Treaty 1                                              := Okay, good idea, we accept!
Send Accept Treaty 2                                              := By Kvasirs blood we accept. This is a joyous day indeed.
Send Accept Treaty 3                                              := The chain Gleipnir which ties the Fenris wolf could not bind us together more tightly than this glorious union.
Number of Send Refuse Treaty                                      := 3
Send Refuse Treaty 1                                              := Our captains do not like this. We refuse.
Send Refuse Treaty 2                                              := This is the wrong time for such a treaty. Ask us again later.
Send Refuse Treaty 3                                              := We have no use for such a treaty. We will soon plunder your planets, anyway.
Number of Send Offer Counter Treaty Proposal                      := 2
Send Offer Counter Treaty Proposal 1                              := Your offer is interesting, but we propose a [%ProposedTreatyName].
Send Offer Counter Treaty Proposal 2                              := Why should we accept your offer when a [%ProposedTreatyName] would be so much better?
Send Offer Counter Treaty Proposal 3                              := 
Number of Send Break Treaty                                       := 3
Send Break Treaty 1                                               := Sorry, but we must break our treaty.
Send Break Treaty 2                                               := This treaty is meaningless. We will honour it no longer.
Send Break Treaty 3                                               := We must have had too much mead when accepting this treaty. We correct this mistake now.
Number of Send Declare War                                        := 3
Send Declare War 1                                                := Your lands, your ships, your women. They shall belong to us.
Send Declare War 2                                                := Your head would look nice in my trophy room. By Thor's chariot there must be war!
Send Declare War 3                                                := My axe is thirsty for your death. I must allow it to drink. 
Number of Send Propose Trade                                      := 2
Send Propose Trade 1                                              := We propose a trade of these items.
Send Propose Trade 2                                              := I have a good deal for you. I'll even throw in a dozen cases of best mead.
Send Propose Trade 3                                              := 
Number of Send Accept Trade                                       := 3
Send Accept Trade 1                                               := We accept your generous trade offer.
Send Accept Trade 2                                               := This seems like a fair deal. Accepted!
Send Accept Trade 3                                               := Your price is high, but we will agree to your trade as a favour to you.
Number of Send Refuse Trade                                       := 3
Send Refuse Trade 1                                               := Your proposed trade is not beneficial to us. We must decline.
Send Refuse Trade 2                                               := Trade is good, but we have nothing to gain from this offer.
Send Refuse Trade 3                                               := By Odin, we like what you offer. We must decline for now, but I think it is time that we loot your planets.
Number of Send Offer Counter Trade Proposal                       := 2
Send Offer Counter Trade Proposal 1                               := Your proposed trade is interesting, but we have a better trade proposal.
Send Offer Counter Trade Proposal 2                               := Haha! We do not like what you offer, but we appreciate your enthusiasm. This trade is better.
Send Offer Counter Trade Proposal 3                               := 
Number of Send Give Gift                                          := 1
Send Give Gift 1                                                  := Here is a gift from our empire to yours.
Send Give Gift 2                                                  := 
Send Give Gift 3                                                  := 
Number of Send Accept Gift                                        := 1
Send Accept Gift 1                                                := Thank-you for the generous gift. If you send more, we will not attack you.
Send Accept Gift 2                                                := 
Send Accept Gift 3                                                := 
Number of Send Refuse Gift                                        := 2
